Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
avid,AV-id,adj.,greedy; eager for,He was avid for learning and read everything he could get.,"eager, enthusiastic","apathetic, indifferent","Latin avidus, 'eager'"
avocation,av-uh-KAY-shuhn,n.,secondary or minor occupation,His hobby proved so profitable he concentrated on his avocation.,"hobby, sideline","vocation, profession","Latin avocare, 'to call away'"
avow,uh-VOW,v.,declare openly,Lana avowed that she never meant to steal Debbie's boyfriend.,"declare, assert","deny, disavow","Old French avouer, 'to acknowledge'"
avuncular,uh-VUN-kyuh-ler,adj.,like an uncle,Avuncular pride did not prevent him from noticing his nephew's shortcomings.,"uncle-like, benevolent",-,"Latin avunculus, 'uncle'"
awe,aw,n.,solemn wonder,The tourists gazed with awe at the Grand Canyon.,"wonder, amazement","contempt, disdain","Old Norse agi, 'fright'"
awl,awl,n.,pointed tool used for piercing,She used an awl to punch holes in the leather belt.,piercing tool,-,Old English awel
awry,uh-RY,adj./adv.,distorted; crooked,"He held his head awry, as if he had caught a cold in his neck.","crooked, askew","straight, correct",a- + wry
axiom,AK-see-uhm,n.,self-evident truth requiring no proof,He must accept certain principles or axioms.,"maxim, postulate",-,"Greek axioma, 'that which is thought worthy'"
azure,AZH-er,adj.,sky blue,Azure skies are indicative of good weather.,sky-blue,-,Old French azur
babble,BAB-uhl,v./n.,chatter idly,The little girl babbled about her doll.,"chatter, prattle",-,imitative origin
bacchanalian,bak-uh-NAY-lee-uhn,adj.,drunken,Emperor Nero attended the bacchanalian orgy.,"drunken, riotous","sober, restrained","Latin Bacchus, god of wine"
badger,BAJ-er,v.,pester; annoy,She was forced to change her number because she was badgered by calls.,"pester, harass","soothe, placate","from the animal badger, 'to bait'"
badinage,bad-uh-NAHZH,n.,teasing conversation,Her friends greeted the news with cheerful badinage.,"banter, teasing",-,"French badinage, 'joking'"
baffle,BAF-uhl,v.,frustrate; perplex,The new code baffled the enemy agents.,"confuse, perplex","clarify, enlighten","French bafouer, 'to deceive'"
bait,bayt,v.,harass; tease,The school bully baited the smaller children.,"torment, tease",-,"Old Norse beita, 'to cause to bite'"
baleful,BAYL-fuhl,adj.,deadly; having a malign influence; ominous,The fortune teller made baleful predictions of terrible things.,"sinister, ominous","benign, favorable","Old English bealu, 'evil'"
balk,bawk,v.,"stop short, refuse to continue",The chief of police balked at sending his officers into the riot.,"hesitate, refuse","proceed, comply","Old English balca, 'ridge'"
balk,bawk,v.,foil; thwart,Inmates planning to escape were balked by the warden.,"thwart, foil","aid, abet","Old English balca, 'ridge'"
ballast,BAL-uhst,n.,heavy substance used to add stability or weight,It was necessary to shift the ballast to get her back on an even keel.,"stabilizer, counterweight",-,Low German ballast
balm,bahm,n.,something that relieves pain,Friendship is the finest balm for the pangs of disappointed love.,"soother, salve",irritant,"Greek balsamon, 'balsam'"
balmy,BAH-mee,adj.,mild; fragrant,A balmy breeze refreshed us after the sultry blast.,"mild, pleasant","harsh, stormy",from balm
banal,buh-NAL,adj.,hackneyed; commonplace; trite; lacking originality,The hack writer's worn-out cliches made his sketch seem banal.,"trite, clichéd","original, fresh","French banal, 'communal, common'"
bandy,BAN-dee,v.,discuss lightly; exchange words heatedly,He refused to bandy words with unfriendly reporters.,"exchange, trade",-,"French bander, 'to bandy at tennis'"
bane,bayn,n.,cause of ruin; curse,Lucy's little brother was the bane of her existence.,"curse, scourge","blessing, boon","Old English bana, 'killer'"
bantering,BAN-ter-ing,adj.,good-naturedly ridiculing,They resented his bantering remarks because they misinterpreted his teasing as sarcasm.,"teasing, joking","serious, earnest","origin uncertain, 17th c. slang"
barb,barb,n.,sharp projection from a hook; openly cutting remark,Who can blame the president for his critics' barbed remarks?,"sharp remark, dart","compliment, praise","Latin barba, 'beard'"
